Sodium Channel Blockers,GABAergic,Calcium Channel Blockers,SVP2A,Other/Multiple,Steroids
Carbamazepine,Clobazam,Ethosuximide,Brivaracetam,Perampanel,ACTH
Lacosamide,Clonazepam,Gabapentin,Levetiracetam,Topiramate,Prednisolone
Lamotrigine,Felbamate,Zonisamide,,Epidiolex,Methylprednisolone
Oxcarbazepine,Phenobarbital,Pregabalin,,Cannabidiol,Prednisone
Phenytoin,Primidone,,,Cannabinol,
Rufinamide,Stiripentol,,,Cenobamate,
Valproate,Tiagabine,,,Fenfluramine,
Eslicarbazepine,Vigabatrin,,,Tetrahydrocannabinol,
,,,,Acetazolamide,
